Year,Fruits.acf,total.acf,aborted.acf,success.acf,predated.acf,Site,Mean.Fruits,CV.Fruits,m.total,m.aborted,m.sucessess,m.predated,total.cv,aborted.cv,success.cv,predated.cv,Prop.aborted,Prop.sucessess,Prop.predated
1986,NA,NA,NA,NA,NA,Haynes,3.1842105263157894,1.234896689432921,2.736842105263158,0.7894736842105263,0.5789473684210527,1.368421052631579,1.011172198380131,1.2028130608117202,1.1514154661795954,0.7065835796489937,0.28846153846153844,0.21153846153846154,0.5
1987,NA,0.03824073332903737,NA,NA,0.017918094151256628,Haynes,0,NA,0.10526315789473684,0,0,0.10526315789473684,3.885642068656646,NA,NA,0.38490017945975047,0,0,1
1988,NA,0.09770613862440866,NA,NA,0.04259558059516855,Haynes,2.0285714285714285,1.1095539188473882,1.2,0.24285714285714285,0.35714285714285715,0.6,1.943236339671437,1.0782531046954915,0.9802856726485397,1.3322912594474228,0.20238095238095238,0.2976190476190476,0.5
1989,-0.05291363357783053,0.45969931088427535,0.24552630189001926,-0.052947398570173825,0.5032366781780343,Haynes,0.05333333333333334,5.099019513592781,1,0.5866666666666667,0.013333333333333334,0.4,1.8959416115995225,0.7240839182450862,5.099019513592781,1.9253628806597012,0.5866666666666667,0.013333333333333334,0.4
1990,-0.03574021921998062,0.5176819239006345,0.490215998199581,0.3833003086234598,0.21740847494341883,Haynes,1.1666666666666667,2.4315632831575655,1.0694444444444444,0.5277777777777778,0.2777777777777778,0.2638888888888889,2.281415882822209,1.4752945015299688,1.9767698519602748,1.3510562000981936,0.4935064935064935,0.25974025974025977,0.24675324675324675
1991,0.32113140809962304,0.22629177563960773,0.18088076425534166,0.20881603113934302,0.1389781214498432,Haynes,6.064102564102564,1.0325133059585767,1.6666666666666667,0.4230769230769231,1,0.24358974358974358,1.3491700190338283,1.3131910810616656,0.8207593318059031,1.5066677100831318,0.25384615384615383,0.6,0.14615384615384613
1992,NA,0.12979404189788676,8.830107032471487e-4,NA,0.22108249297684282,Haynes,0,NA,0.3116883116883117,0.2857142857142857,0,0.025974025974025976,2.615785484100409,0.5113291999424139,NA,3.4641016151377544,0.9166666666666666,0,0.08333333333333334
1993,NA,0.32141976238755837,0.076670231100791,NA,0.25267881940384856,Haynes,3.7738095238095237,1.1923693855087467,1.6428571428571428,0.40476190476190477,0.8095238095238095,0.42857142857142855,1.2270439741049335,1.3862065601673441,0.9956155685997945,1.7300821241717397,0.2463768115942029,0.4927536231884058,0.2608695652173913
1994,NA,-0.039311251108657484,-0.06556138131670988,NA,-0.057623667054090694,Haynes,0,NA,0.024096385542168676,0.012048192771084338,0,0.012048192771084338,6.402648080210591,1.4142135623730951,NA,1.4142135623730951,0.5,0,0.5
1995,NA,0.23746413979563394,-0.02404930351219409,NA,NA,Haynes,5.583333333333333,0.6523958962436145,0.9895833333333334,0.052083333333333336,0.9375,0,1.9698500153455065,2.137575909583276,0.6170650134055817,NA,0.05263157894736842,0.9473684210526315,0
1996,-0.07085988018797046,0.0416522726901722,-0.047811394374288746,-0.07273701431388736,NA,Haynes,0.09411764705882353,1.7320508075688774,0.10588235294117647,0.07058823529411765,0.011764705882352941,0.023529411764705882,5.6485601376327645,1.1547005383792515,1.7320508075688774,1.4142135623730951,0.6666666666666666,0.1111111111111111,0.2222222222222222
1997,-0.01492537313432836,-0.030526582811192863,NA,-0.01492537313432836,-0.01492537313432836,Haynes,0.08823529411764706,NA,0.029411764705882353,0,0.014705882352941176,0.014705882352941176,8.246211251235321,NA,NA,NA,0,0.5,0.5
1998,NA,-0.035260687627984864,NA,NA,-0.035260687627984864,Haynes,0,NA,0.17721518987341772,0,0,0.17721518987341772,3.471382595152211,NA,NA,0.408248290463863,0,0,1
1999,NA,0.5343896670960472,NA,NA,0.5343896670960472,Haynes,0,NA,0.03225806451612903,0,0,0.03225806451612903,7.1566326791548756,NA,NA,0.47140452079103173,0,0,1
2000,NA,NA,NA,NA,NA,Haynes,0,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
2001,NA,NA,NA,NA,NA,Haynes,0,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
2002,NA,NA,NA,NA,NA,Haynes,0,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
2003,NA,NA,NA,NA,NA,Haynes,3.8365384615384617,1.1896599232967418,1.6153846153846154,0.38461538461538464,0.9038461538461539,0.3269230769230769,1.3702054441921296,1.4607066074689499,1.1150489172330258,1.8286259995351348,0.2380952380952381,0.5595238095238095,0.20238095238095238
2004,NA,0.11516132523711936,0.15836410213487714,NA,NA,Haynes,0,NA,0.008771929824561403,0.008771929824561403,0,0,10.677078252031352,NA,NA,NA,1,0,0
2005,NA,-0.024569303485790984,-0.015289018630918963,NA,NA,Haynes,0.39361702127659576,1.0273825842566602,0.0851063829787234,0.02127659574468085,0.05319148936170213,0.010638297872340425,4.446667230900645,1.3693063937629153,1,2.23606797749979,0.25,0.625,0.125
2006,-0.036275609770754225,-0.1375697071953298,-0.03628973254686635,-0.03628199733788007,-0.05715392872623438,Haynes,0.04285714285714286,2.7016930431019177,0.38571428571428573,0.04285714285714286,0.02857142857142857,0.3142857142857143,2.3059465120240277,1.9871381302561602,2.5419556372089693,0.5419467627971347,0.1111111111111111,0.07407407407407407,0.8148148148148148
2007,0.08539131605451973,0.21093436446556865,0.0597079356057789,0.10349108551614206,0.07688882364321417,Haynes,8.096385542168674,1.3403248580259022,2.4698795180722892,0.7590361445783133,1.6506024096385543,0.060240963855421686,1.5021098706945764,0.9080725440352583,0.9915275294834048,4.126213885105936,0.3073170731707317,0.6682926829268293,0.024390243902439025
2008,0.16701114236368403,0.18670293428674106,0.16479292845911311,0.11841168416261971,-0.05160400099371759,Haynes,1.1772151898734178,1.5822785873124667,0.7848101265822784,0.1518987341772152,0.5063291139240507,0.12658227848101267,2.8321167046838918,1.367971136113539,1.7471781760734562,2,0.19354838709677422,0.6451612903225807,0.16129032258064518
2009,0.3848128340796341,0.4435172648324741,0.037923797752542995,0.4230524358540016,0.04783241761843414,Haynes,5.957894736842105,1.525633594478996,2.1157894736842104,0.4,1.2421052631578948,0.47368421052631576,1.4075874174209426,1.2725850298718049,1.3595176017534394,1.4709090770359823,0.18905472636815923,0.5870646766169155,0.22388059701492538
2010,-0.10905381027319226,0.20384771909256272,-0.01304597110229628,-0.1563407102819598,0.14089236482100975,Haynes,0.21904761904761905,2.8053419201988468,0.45714285714285713,0.12380952380952381,0.12380952380952381,0.20952380952380953,2.925866899806727,1.5052832663759863,2.0701694563270108,1.2701272142962168,0.27083333333333337,0.27083333333333337,0.45833333333333337
