"","Year","n_months","value","Season","Variable","start_year","period_start"
"1",1941,3,51.979623432808,"Winter","ppt_mm",1940,1940
"2",1942,3,47.6216923081709,"Winter","ppt_mm",1940,1940
"3",1943,3,14.9778791888348,"Winter","ppt_mm",1940,1940
"4",1944,3,63.1365676009155,"Winter","ppt_mm",1940,1940
"5",1945,3,35.4344799571318,"Winter","ppt_mm",1940,1945
"6",1946,3,22.6432565695465,"Winter","ppt_mm",1940,1945
"7",1947,3,25.1825429991367,"Winter","ppt_mm",1940,1945
"8",1948,3,32.5425001332402,"Winter","ppt_mm",1940,1945
"9",1949,3,71.599043412092,"Winter","ppt_mm",1940,1945
"10",1950,3,37.6160951042799,"Winter","ppt_mm",1940,1950
"11",1951,3,24.9315598585519,"Winter","ppt_mm",1940,1950
"12",1952,3,57.6036007814984,"Winter","ppt_mm",1940,1950
"13",1953,3,58.2919781392606,"Winter","ppt_mm",1940,1950
"14",1954,3,27.0403533326406,"Winter","ppt_mm",1940,1950
"15",1955,3,41.7761263337079,"Winter","ppt_mm",1940,1955
"16",1956,3,37.0734979420826,"Winter","ppt_mm",1940,1955
"17",1957,3,11.5366754217041,"Winter","ppt_mm",1940,1955
"18",1958,3,34.655252420542,"Winter","ppt_mm",1940,1955
"19",1959,3,30.685963221502,"Winter","ppt_mm",1940,1955
"20",1960,3,56.0151304915136,"Winter","ppt_mm",1940,1960
"21",1961,3,19.9038957642925,"Winter","ppt_mm",1940,1960
"22",1962,3,35.815307168398,"Winter","ppt_mm",1940,1960
"23",1963,3,36.2714263007955,"Winter","ppt_mm",1940,1960
"24",1964,3,23.2114337641689,"Winter","ppt_mm",1940,1960
"25",1965,3,33.0607434339474,"Winter","ppt_mm",1940,1965
"26",1966,3,44.2067365039933,"Winter","ppt_mm",1940,1965
"27",1967,3,22.8774028205728,"Winter","ppt_mm",1940,1965
"28",1968,3,27.1638844258833,"Winter","ppt_mm",1940,1965
"29",1969,3,59.7478783554484,"Winter","ppt_mm",1940,1965
"30",1970,3,18.213155656266,"Winter","ppt_mm",1940,1970
"31",1971,3,51.6622803398418,"Winter","ppt_mm",1940,1970
"32",1972,3,16.4383502788362,"Winter","ppt_mm",1940,1970
"33",1973,3,36.6553635618978,"Winter","ppt_mm",1940,1970
"34",1974,3,39.5700525423424,"Winter","ppt_mm",1940,1970
"35",1975,3,26.0086068568853,"Winter","ppt_mm",1940,1975
"36",1976,3,36.7695841976283,"Winter","ppt_mm",1940,1975
"37",1977,3,23.049781044115,"Winter","ppt_mm",1940,1975
"38",1978,3,55.1487470105566,"Winter","ppt_mm",1940,1975
"39",1979,3,44.0229024030371,"Winter","ppt_mm",1940,1975
"40",1980,3,32.5840945692112,"Winter","ppt_mm",1940,1980
"41",1981,3,16.8274050269844,"Winter","ppt_mm",1940,1980
"42",1982,3,38.5979485711314,"Winter","ppt_mm",1940,1980
"43",1983,3,35.2683096628934,"Winter","ppt_mm",1940,1980
"44",1984,3,47.7004304550697,"Winter","ppt_mm",1940,1980
"45",1985,3,22.5402020895678,"Winter","ppt_mm",1940,1985
"46",1986,3,38.7607589114391,"Winter","ppt_mm",1940,1985
"47",1987,3,43.5121877336244,"Winter","ppt_mm",1940,1985
"48",1988,3,63.4995366286946,"Winter","ppt_mm",1940,1985
"49",1989,3,25.4022261552073,"Winter","ppt_mm",1940,1985
"50",1990,3,23.8622593333768,"Winter","ppt_mm",1940,1990
"51",1991,3,22.4214860434815,"Winter","ppt_mm",1940,1990
"52",1992,3,44.575529171035,"Winter","ppt_mm",1940,1990
"53",1993,3,52.7777857118851,"Winter","ppt_mm",1940,1990
"54",1994,3,36.5644946067678,"Winter","ppt_mm",1940,1990
"55",1995,3,31.8205018014266,"Winter","ppt_mm",1940,1995
"56",1996,3,26.7740917815918,"Winter","ppt_mm",1940,1995
"57",1997,3,22.7257746806127,"Winter","ppt_mm",1940,1995
"58",1998,3,22.0955225221156,"Winter","ppt_mm",1940,1995
"59",1999,3,21.6781039603861,"Winter","ppt_mm",1940,1995
"60",2000,3,28.7284365490811,"Winter","ppt_mm",1940,2000
"61",2001,3,46.6802087450381,"Winter","ppt_mm",1940,2000
"62",2002,3,4.72469919586186,"Winter","ppt_mm",1940,2000
"63",2003,3,26.8505056770787,"Winter","ppt_mm",1940,2000
"64",2004,3,25.9457406721368,"Winter","ppt_mm",1940,2000
"65",2005,3,22.5270807288008,"Winter","ppt_mm",1940,2005
"66",2006,3,21.878836324402,"Winter","ppt_mm",1940,2005
"67",2007,3,89.4456084950018,"Winter","ppt_mm",1940,2005
"68",2008,3,14.813968365288,"Winter","ppt_mm",1940,2005
"69",2009,3,50.9351763721976,"Winter","ppt_mm",1940,2005
"70",2010,3,43.570878620349,"Winter","ppt_mm",1940,2010
"71",2011,3,53.8243124076993,"Winter","ppt_mm",1940,2010
"72",2012,3,40.7743732136325,"Winter","ppt_mm",1940,2010
"73",2013,3,35.2956049334209,"Winter","ppt_mm",1940,2010
"74",2014,3,26.2973646680865,"Winter","ppt_mm",1940,2010
"75",2015,3,51.606574219751,"Winter","ppt_mm",1940,2015
"76",2016,3,49.6589919727648,"Winter","ppt_mm",1940,2015
"77",2017,3,65.9119308766718,"Winter","ppt_mm",1940,2015
"78",2018,3,51.2819488252894,"Winter","ppt_mm",1940,2015
"79",2019,3,65.9257146888687,"Winter","ppt_mm",1940,2015
"80",2020,3,48.1638396521996,"Winter","ppt_mm",1940,2020
"81",2021,3,37.5761973361367,"Winter","ppt_mm",1940,2020
"82",2022,3,16.5308621181476,"Winter","ppt_mm",1940,2020
"83",2023,3,104.751671659179,"Winter","ppt_mm",1940,2020
"84",2024,3,61.163419263812,"Winter","ppt_mm",1940,2020
"85",2025,3,19.1828831786946,"Winter","ppt_mm",1940,2025
"86",1940,3,109.812549933762,"Spring","ppt_mm",1940,1940
"87",1941,3,162.230483831871,"Spring","ppt_mm",1940,1940
"88",1942,3,267.709593303303,"Spring","ppt_mm",1940,1940
"89",1943,3,121.246853210665,"Spring","ppt_mm",1940,1940
"90",1944,3,201.55483672617,"Spring","ppt_mm",1940,1940
"91",1945,3,140.865139384608,"Spring","ppt_mm",1940,1945
"92",1946,3,178.797033396287,"Spring","ppt_mm",1940,1945
"93",1947,3,126.710130492528,"Spring","ppt_mm",1940,1945
"94",1948,3,91.2771412811461,"Spring","ppt_mm",1940,1945
"95",1949,3,224.731553209793,"Spring","ppt_mm",1940,1945
"96",1950,3,135.658095068188,"Spring","ppt_mm",1940,1950
"97",1951,3,188.787813998866,"Spring","ppt_mm",1940,1950
"98",1952,3,160.872462823175,"Spring","ppt_mm",1940,1950
"99",1953,3,159.595936403704,"Spring","ppt_mm",1940,1950
"100",1954,3,129.130571747933,"Spring","ppt_mm",1940,1950
"101",1955,3,128.201173339392,"Spring","ppt_mm",1940,1955
"102",1956,3,90.5751990777602,"Spring","ppt_mm",1940,1955
"103",1957,3,256.766497287165,"Spring","ppt_mm",1940,1955
"104",1958,3,169.823981951375,"Spring","ppt_mm",1940,1955
"105",1959,3,156.619054235343,"Spring","ppt_mm",1940,1955
"106",1960,3,195.337068763661,"Spring","ppt_mm",1940,1960
"107",1961,3,196.431004162746,"Spring","ppt_mm",1940,1960
"108",1962,3,207.168382602428,"Spring","ppt_mm",1940,1960
"109",1963,3,108.267970673379,"Spring","ppt_mm",1940,1960
"110",1964,3,152.081416378306,"Spring","ppt_mm",1940,1960
"111",1965,3,153.192588328194,"Spring","ppt_mm",1940,1965
"112",1966,3,75.4165817079608,"Spring","ppt_mm",1940,1965
"113",1967,3,120.929670747235,"Spring","ppt_mm",1940,1965
"114",1968,3,147.756070827101,"Spring","ppt_mm",1940,1965
"115",1969,3,83.1912349764075,"Spring","ppt_mm",1940,1965
"116",1970,3,146.933157784523,"Spring","ppt_mm",1940,1970
"117",1971,3,204.878525073205,"Spring","ppt_mm",1940,1970
"118",1972,3,159.166322954657,"Spring","ppt_mm",1940,1970
"119",1973,3,223.403177760733,"Spring","ppt_mm",1940,1970
"120",1974,3,128.319204329258,"Spring","ppt_mm",1940,1970
"121",1975,3,141.412592263257,"Spring","ppt_mm",1940,1975
"122",1976,3,156.02937127188,"Spring","ppt_mm",1940,1975
"123",1977,3,316.290761776779,"Spring","ppt_mm",1940,1975
"124",1978,3,191.386427390763,"Spring","ppt_mm",1940,1975
"125",1979,3,166.992912354705,"Spring","ppt_mm",1940,1975
"126",1980,3,131.741067740282,"Spring","ppt_mm",1940,1980
"127",1981,3,166.353222817915,"Spring","ppt_mm",1940,1980
"128",1982,3,198.436778049824,"Spring","ppt_mm",1940,1980
"129",1983,3,226.089517245874,"Spring","ppt_mm",1940,1980
"130",1984,3,181.609277984139,"Spring","ppt_mm",1940,1980
"131",1985,3,132.22655459266,"Spring","ppt_mm",1940,1985
"132",1986,3,198.183550186568,"Spring","ppt_mm",1940,1985
"133",1987,3,204.03685076737,"Spring","ppt_mm",1940,1985
"134",1988,3,204.258498375681,"Spring","ppt_mm",1940,1985
"135",1989,3,66.2179670864403,"Spring","ppt_mm",1940,1985
"136",1990,3,185.466826057118,"Spring","ppt_mm",1940,1990
"137",1991,3,208.333852383457,"Spring","ppt_mm",1940,1990
"138",1992,3,107.482123894965,"Spring","ppt_mm",1940,1990
"139",1993,3,166.56621789662,"Spring","ppt_mm",1940,1990
"140",1994,3,84.5272443930405,"Spring","ppt_mm",1940,1990
"141",1995,3,290.042085154792,"Spring","ppt_mm",1940,1995
"142",1996,3,177.269894654621,"Spring","ppt_mm",1940,1995
"143",1997,3,119.65030689396,"Spring","ppt_mm",1940,1995
"144",1998,3,149.891010274142,"Spring","ppt_mm",1940,1995
"145",1999,3,181.386003868666,"Spring","ppt_mm",1940,1995
"146",2000,3,163.519448226877,"Spring","ppt_mm",1940,2000
"147",2001,3,200.6010080367,"Spring","ppt_mm",1940,2000
"148",2002,3,96.9398308240608,"Spring","ppt_mm",1940,2000
"149",2003,3,194.373513131041,"Spring","ppt_mm",1940,2000
"150",2004,3,174.257424975088,"Spring","ppt_mm",1940,2000
"151",2005,3,243.412741715914,"Spring","ppt_mm",1940,2005
"152",2006,3,125.976705575141,"Spring","ppt_mm",1940,2005
"153",2007,3,298.900388575269,"Spring","ppt_mm",1940,2005
"154",2008,3,233.401608801428,"Spring","ppt_mm",1940,2005
"155",2009,3,168.457487434585,"Spring","ppt_mm",1940,2005
"156",2010,3,199.205494059098,"Spring","ppt_mm",1940,2010
"157",2011,3,218.431867836521,"Spring","ppt_mm",1940,2010
"158",2012,3,146.732642741103,"Spring","ppt_mm",1940,2010
"159",2013,3,191.474775808002,"Spring","ppt_mm",1940,2010
