"","model","scenario","year","tmean_annual"
"1","ACCESS-CM2","ssp245",2045,12.620741908091
"2","ACCESS-CM2","ssp245",2046,10.8921110244003
"3","ACCESS-CM2","ssp245",2047,12.3231527049013
"4","ACCESS-CM2","ssp245",2048,12.5923598372022
"5","ACCESS-CM2","ssp245",2049,11.6577197910593
"6","ACCESS-CM2","ssp245",2050,12.8757047898418
"7","ACCESS-CM2","ssp245",2051,13.5217082892412
"8","ACCESS-CM2","ssp245",2052,12.5519787164235
"9","ACCESS-CM2","ssp245",2053,12.3385762026966
"10","ACCESS-CM2","ssp245",2054,12.1496699273913
"11","ACCESS-CM2","ssp245",2055,12.1544941572655
"12","ACCESS-CM2","ssp245",2056,12.3966268263102
"13","ACCESS-CM2","ssp245",2057,12.7378606103961
"14","ACCESS-CM2","ssp245",2058,12.2569791474954
"15","ACCESS-CM2","ssp245",2059,12.4707538140117
"16","ACCESS-CM2","ssp245",2060,12.6841680420579
"17","ACCESS-CM2","ssp245",2061,13.1856676450899
"18","ACCESS-CM2","ssp245",2062,12.1650095065737
"19","ACCESS-CM2","ssp245",2063,13.1168233324118
"20","ACCESS-CM2","ssp245",2064,12.1719094080067
"21","ACCESS-CM2","ssp245",2065,11.3425942063092
"22","ACCESS-CM2","ssp245",2066,13.9003974828092
"23","ACCESS-CM2","ssp245",2067,13.1939741019035
"24","ACCESS-CM2","ssp245",2068,13.2582652637759
"25","ACCESS-CM2","ssp245",2069,11.6719881162725
"26","ACCESS-CM2","ssp245",2070,12.6438857709418
"27","ACCESS-CM2","ssp245",2071,13.1681439657939
"28","ACCESS-CM2","ssp245",2072,12.5269221618427
"29","ACCESS-CM2","ssp245",2073,14.8941329990923
"30","ACCESS-CM2","ssp245",2074,12.5179964603847
"31","ACCESS-CM2","ssp585",2045,10.7948707457868
"32","ACCESS-CM2","ssp585",2046,12.4856652016983
"33","ACCESS-CM2","ssp585",2047,13.3544702318183
"34","ACCESS-CM2","ssp585",2048,12.8690453502381
"35","ACCESS-CM2","ssp585",2049,11.3274329654057
"36","ACCESS-CM2","ssp585",2050,11.9611282629306
"37","ACCESS-CM2","ssp585",2051,12.4094058120124
"38","ACCESS-CM2","ssp585",2052,12.3953692950484
"39","ACCESS-CM2","ssp585",2053,13.0045379153569
"40","ACCESS-CM2","ssp585",2054,12.3577932097218
"41","ACCESS-CM2","ssp585",2055,12.6937840737283
"42","ACCESS-CM2","ssp585",2056,12.4638178868519
"43","ACCESS-CM2","ssp585",2057,13.0756717656878
"44","ACCESS-CM2","ssp585",2058,12.3983057264164
