"","model","year","tmean_annual"
"1","ACCESS-CM2",1950,8.39863569707925
"2","ACCESS-CM2",1951,7.31359115491869
"3","ACCESS-CM2",1952,8.79010111341199
"4","ACCESS-CM2",1953,8.11831298916364
"5","ACCESS-CM2",1954,7.80308144611548
"6","ACCESS-CM2",1955,7.50344598952134
"7","ACCESS-CM2",1956,10.1187535902431
"8","ACCESS-CM2",1957,8.68935967303171
"9","ACCESS-CM2",1958,8.11581839774573
"10","ACCESS-CM2",1959,8.21766806558756
"11","ACCESS-CM2",1960,7.83425063236055
"12","ACCESS-CM2",1961,9.39093671229104
"13","ACCESS-CM2",1962,9.91840869977623
"14","ACCESS-CM2",1963,7.7187173094153
"15","ACCESS-CM2",1964,8.41211208184366
"16","ACCESS-CM2",1965,7.90247398448949
"17","ACCESS-CM2",1966,7.84628312781746
"18","ACCESS-CM2",1967,9.1124200523909
"19","ACCESS-CM2",1968,8.24646463736876
"20","ACCESS-CM2",1969,7.73000065056269
"21","ACCESS-CM2",1970,8.19486371827788
"22","ACCESS-CM2",1971,8.74866148110809
"23","ACCESS-CM2",1972,8.6163025255294
"24","ACCESS-CM2",1973,7.53836077989897
"25","ACCESS-CM2",1974,8.30387386556799
"26","ACCESS-CM2",1975,7.07966275930112
"27","ACCESS-CM2",1976,9.15667818503558
"28","ACCESS-CM2",1977,8.67656808669585
"29","ACCESS-CM2",1978,8.67022145699492
"30","ACCESS-CM2",1979,10.0233551096296
"31","ACCESS-CM2",1980,7.62331493886627
"32","ACCESS-CM2",1981,9.08562258878362
"33","ACCESS-CM2",1982,8.37059484975788
"34","ACCESS-CM2",1983,9.40568365044264
"35","ACCESS-CM2",1984,9.92943071288939
"36","ACCESS-CM2",1985,8.55697127723932
"37","ACCESS-CM2",1986,8.25029236345636
"38","ACCESS-CM2",1987,8.89977456226375
"39","ACCESS-CM2",1988,9.52903713508365
"40","ACCESS-CM2",1989,7.91224738423958
"41","ACCESS-CM2",1990,8.3531163728912
"42","ACCESS-CM2",1991,8.41136072632304
"43","ACCESS-CM2",1992,8.14467891218842
"44","ACCESS-CM2",1993,9.02839706323209
"45","ACCESS-CM2",1994,8.79953980538434
"46","ACCESS-CM2",1995,8.89102287662766
"47","ACCESS-CM2",1996,8.90752354779062
"48","ACCESS-CM2",1997,9.98125036256171
"49","ACCESS-CM2",1998,8.72490572844694
"50","ACCESS-CM2",1999,9.3986941670446
"51","ACCESS-CM2",2000,9.32309028171697
"52","ACCESS-CM2",2001,9.51230554907642
"53","ACCESS-CM2",2002,10.3581735561329
"54","ACCESS-CM2",2003,10.5770401234176
"55","ACCESS-CM2",2004,8.85004387532125
"56","ACCESS-CM2",2005,9.29180600774137
"57","ACCESS-CM2",2006,9.22960356436995
"58","ACCESS-CM2",2007,9.38207113919109
"59","ACCESS-CM2",2008,8.62444665129648
"60","ACCESS-CM2",2009,10.2120221840356
"61","ACCESS-CM2",2010,9.50922831425439
"62","ACCESS-CM2",2011,9.75590145232412
"63","ACCESS-CM2",2012,8.72174812696635
"64","ACCESS-CM2",2013,9.71384520713874
"65","ACCESS-CM2",2014,10.2030392802387
"66","CanESM5",1950,8.43805668880902
"67","CanESM5",1951,7.84355623614737
"68","CanESM5",1952,7.09055792073091
"69","CanESM5",1953,9.08208456263964
"70","CanESM5",1954,8.40098268169357
"71","CanESM5",1955,9.18387558916198
"72","CanESM5",1956,8.3234206248886
"73","CanESM5",1957,6.68684126851188
"74","CanESM5",1958,8.77139201063799
"75","CanESM5",1959,8.05600770101821
"76","CanESM5",1960,8.21123025934347
"77","CanESM5",1961,8.12674528608045
"78","CanESM5",1962,8.58761991999556
"79","CanESM5",1963,9.00209922176019
"80","CanESM5",1964,6.52239942239467
"81","CanESM5",1965,7.91221688911475
"82","CanESM5",1966,6.70868079285149
"83","CanESM5",1967,7.59944270833966
"84","CanESM5",1968,9.36096625487602
"85","CanESM5",1969,7.96691341297731
"86","CanESM5",1970,8.10255153613465
"87","CanESM5",1971,7.98567804197104
"88","CanESM5",1972,8.9017596599732
"89","CanESM5",1973,7.66399774137781
"90","CanESM5",1974,7.1412624698688
"91","CanESM5",1975,9.26001046427713
"92","CanESM5",1976,8.16884784926961
"93","CanESM5",1977,9.12832718320941
"94","CanESM5",1978,7.15054005981725
"95","CanESM5",1979,10.0836141097058
"96","CanESM5",1980,8.09284539346804
"97","CanESM5",1981,8.99174942968309
"98","CanESM5",1982,8.15536676231175
"99","CanESM5",1983,8.93376635583363
"100","CanESM5",1984,8.46831585704076
"101","CanESM5",1985,8.87229854421449
"102","CanESM5",1986,9.71938805562415
"103","CanESM5",1987,8.57166305866582
"104","CanESM5",1988,9.56424582338394
"105","CanESM5",1989,7.86091671896003
"106","CanESM5",1990,9.52776688028596
"107","CanESM5",1991,6.71823392062088
"108","CanESM5",1992,8.74868126482771
"109","CanESM5",1993,8.42928738915099
"110","CanESM5",1994,9.64472987723716
"111","CanESM5",1995,9.48496769759737
"112","CanESM5",1996,9.11049070661595
"113","CanESM5",1997,9.6503085875797
"114","CanESM5",1998,10.3874141868015
"115","CanESM5",1999,10.0863312314336
"116","CanESM5",2000,9.79583823335217
"117","CanESM5",2001,9.1322238909514
"118","CanESM5",2002,9.79511664893599
